course_id,slug,title,category,level,duration,cpd_hours,audience,aim,module_count
FCFP,foundational-certificate-finnish-pedagogy,Foundational Certificate in Finnish Pedagogy and Creative Classroom Practice,Core Certification,Foundation,6 modules x 90 minutes + 2-week classroom implementation task,12,Teachers; Teaching assistants; Tutors; Parents supporting learning; New school leaders,"Equip educators with the foundational values, methods and classroom tools required to apply Finnish-inspired pedagogy ethically and practically in everyday teaching.",6
ASTI,advanced-specialist-targeted-intervention,Advanced Specialist in Targeted Intervention and Inclusive Support,Core Certification,Advanced Practitioner,8 modules x 90 minutes + 4-week intervention evidence cycle,16,Experienced teachers; SENCOs; Intervention leads; Pastoral leaders; Retired teacher mentors; Academic coordinators,"Train educators to design and lead targeted intervention systems aligned with Finnish-inspired equity, inclusion, wellbeing and early support principles.",8
SELD,strategic-educational-leadership-diploma,Strategic Educational Leadership Diploma: Finnish-Inspired School Development and Quality Implementation,Core Certification,Leadership Diploma,8 modules x 90 minutes + 60-day school implementation roadmap,20,School owners; Principals; Headteachers; Academic directors; Quality assurance leads; Ministry/district officers; Consultants,"Equip leaders with the strategic tools to audit, plan, implement, evaluate and sustain Finnish-inspired pedagogy, learning spaces, teacher development, student agency and quality assurance.",8
SISU-101,sisu-preschool-box-play-based-learning,SISU Preschool Box: Play-Based Early Years Toolkit for Teachers and Parents,Early Childhood / Parents,Foundation,8 hours self-paced + 2-week implementation,8,Preschool teachers; Kindergarten teachers; Parents; Nursery leaders; Teaching assistants,"Enable teachers and parents to design play-based early learning using a Finnish-inspired preschool box of games, teaching aids, movement tasks and child-observation routines.",4
ECE-ACC-201,finnish-ece-implementation-accreditation-readiness,Finnish ECE Implementation and CCE Accreditation Readiness,Early Childhood / Leadership,Intermediate,10 hours self-paced + 30-day evidence portfolio,10,ECE leaders; Preschool owners; Kindergarten coordinators; School managers; Lead educators,Prepare educators and institutions to implement Finnish ECE principles and build an evidence portfolio suitable for accreditation-readiness discussions with CCE Finland or similar quality bodies.,4
CCE-SD-301,become-a-finnish-inspired-school-cce-readiness,Becoming a Finnish-Inspired School: CCE School Development and Accreditation Readiness,School Leadership / Accreditation Readiness,Advanced,12 hours self-paced + 60-day evidence portfolio,12,School owners; Principals; Directors; Quality assurance leads; Ministry/district officers,"Guide schools step by step through Finnish-inspired readiness for CCE school development, accreditation-quality evidence and a credible school transformation proposal.",4
AI-SCH-401,ai-enabled-schools-finnish-pedagogy,"AI-Enabled Schools: Finnish-Inspired Pedagogy, Ethics and Classroom Transformation",AI / School Transformation,Intermediate to Advanced,12 hours self-paced + 45-day AI pilot,12,Teachers; School leaders; IT leads; Curriculum leaders; Assessment coordinators,"Equip schools to adopt AI responsibly for teaching, learning, administration and assessment while protecting equity, wellbeing and teacher professional judgment.",4
FIN-IMM-501,finland-education-immersion-tour,"Finland Education Immersion: School Visit Preparation, Experience and Transfer Programme",Immersion / International Professional Learning,Professional,Pre-course 6 hours + 1 or 2 week Finland immersion + post-course 4 hours,20,Teachers; School leaders; Owners; Facilitators; Education consultants,Prepare educators to learn ethically from Finnish schools during an immersion visit and transfer relevant practices to their own contexts without superficial copying.,4
PHBL-601,phenomenon-based-learning-practitioner,Phenomenon-Based Learning Practitioner Certificate,Teaching and Learning / Project-Based Learning,Intermediate,10 hours self-paced + 4-week classroom project,10,Teachers; Student teachers; Curriculum leaders; Project-based learning facilitators,"Develop teachers’ confidence to design, manage and assess phenomenon-based learning projects that promote holistic development, wellbeing, sustainability and lifelong learning.",4
FES-701,finnish-education-system-foundations,"Understanding the Finnish Education System: Principles, Policy and Classroom Practice",Finnish Education Foundations,Foundation,8 hours self-paced,8,Teachers; Parents; School leaders; Owners; Facilitators; Education consultants,Provide a comprehensive understanding of Finland’s education model and how its principles can be adapted ethically in other contexts.,4
FTS-801,finnish-teaching-strategies-this-term,Finnish Teaching Strategies You Can Adopt This Term,Teaching Strategies,Foundation to Intermediate,8 hours self-paced + 10-day classroom challenge,8,Teachers; Teaching assistants; Department heads; Instructional coaches,"Turn widely discussed Finnish teaching strategies into concrete, ethical classroom routines that can be tried immediately.",4
CMB-901,classroom-management-behaviour-finnish-informed,"Classroom Management, Behaviour and Wellbeing: Finnish-Informed Supportive Practice",Classroom Management / Behaviour,Intermediate,10 hours self-paced + 15-day behaviour support implementation,10,Teachers; Teaching assistants; Pastoral leaders; SENCOs; New teachers,"Train teachers to manage behaviour through predictable routines, dignity, early support, relationship-building and differentiated task design.",4
MAD-1001,mixed-ability-differentiation-finnish-support,"Managing Mixed-Ability Classrooms: Differentiation, Early Support and Practical Planning",Differentiation / Inclusive Practice,Foundation to Advanced,12 hours self-paced + 4-week classroom implementation,12,Teachers; Teaching assistants; SENCOs; Tutors; Department heads,"Help teachers prepare, teach and assess mixed-ability classes through flexible grouping, scaffolded tasks, formative checks, early support and challenge extension.",5
